id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26537,VIAG,medium_airport,"Agra Airport / Agra Air Force Station",27.157975,77.961025,551,AS,India,IN,"Uttar Pradesh",IN-UP,UP,Agra,1,VIAG,VIAG,AGR,,,https://en.wikipedia.org/wiki/Agra_Airport,"Kheria Airport, Pandit Deen Dayal Upadhyay Airport, RAF Agra",500,2026-01-10T20:13:51+00:00
26546,VIBR,medium_airport,"Kullu Manali Airport",31.876699,77.154404,3573,AS,India,IN,"Himachal Pradesh",IN-HP,HP,Bhuntar,1,VIBR,VIBR,KUU,,,https://en.wikipedia.org/wiki/Kullu%E2%80%93Manali_Airport,,500,2025-05-05T08:50:45+00:00
26512,VEMN,medium_airport,"Dibrugarh Airport",27.4839000702,95.0168991089,362,AS,India,IN,Assam,IN-AS,AS,Dibrugarh,1,VEMN,VEMN,DIB,,,https://en.wikipedia.org/wiki/Dibrugarh_Airport,"Mohanbari Air Force Station",500,2010-03-15T10:13:14+00:00
26450,VAKJ,medium_airport,"Khajuraho Airport",24.8172,79.918602,728,AS,India,IN,"Madhya Pradesh",IN-MP,MP,Khajuraho,1,VEKO,,HJR,,https://www.aai.aero/en/airports/khajuraho,https://en.wikipedia.org/wiki/Khajuraho_Airport,VAKJ,500,2021-05-07T16:08:59+00:00
26459,VARP,medium_airport,"Swami Vivekananda Airport",21.180401,81.7388,1041,AS,India,IN,Chhattisgarh,IN-CT,CT,Raipur,1,VERP,,RPR,,http://aai.aero/allAirports/raipur_generalinfo.jsp,https://en.wikipedia.org/wiki/Swami_Vivekananda_Airport,"VARP, Mana Airport, Raipur Airport",500,2024-04-04T15:28:00+00:00
3301,VAOZ,large_airport,"Nashik International Airport",20.119101,73.912903,1900,AS,India,IN,Maharashtra,IN-MM,MM,Nashik,1,VAOZ,VAOZ,ISK,,https://www.goindigo.in/airport-directory/india/nashik-isk.html,https://en.wikipedia.org/wiki/Nashik_Airport,VA35,1000,2026-01-27T21:08:59+00:00
26489,VEAT,medium_airport,"Agartala - Maharaja Bir Bikram Airport",23.886999,91.240402,46,AS,India,IN,Tripura,IN-TR,TR,Agartala,1,VEAT,VEAT,IXA,,,https://en.wikipedia.org/wiki/Agartala_Airport,"Singerbhil Airport, Agartala Air Force Station",750,2021-10-29T15:16:36+00:00
26440,VABV,medium_airport,"Bhavnagar Airport",21.752199173,72.1852035522,44,AS,India,IN,Gujarat,IN-GJ,GJ,Bhavnagar,1,VABV,VABV,BHU,,http://aai.aero/allAirports/bhavnagar.jsp,https://en.wikipedia.org/wiki/Bhavnagar_Airport,,750,2010-09-07T17:34:47+00:00
26447,VAJB,medium_airport,"Jabalpur Airport",23.177799,80.052002,1624,AS,India,IN,"Madhya Pradesh",IN-MP,MP,Jabalpur,1,VAJB,VAJB,JLR,,,https://en.wikipedia.org/wiki/Jabalpur_Airport,,750,2023-04-11T00:39:17+00:00
26507,VEJT,medium_airport,"Jorhat Airport",26.730456,94.175416,311,AS,India,IN,Assam,IN-AS,AS,Jorhat,1,VEJT,VEJT,JRH,,http://aai.aero/allAirports/jorhat_airpo_gi.jsp,https://en.wikipedia.org/wiki/Jorhat_Airport,"Rowriah Airport, Jorhat Air Force Station",750,2025-08-20T19:31:06+00:00
26623,VORY,medium_airport,"Rajahmundry Airport",17.105799,81.813204,151,AS,India,IN,"Andhra Pradesh",IN-AP,AP,Madhurapudi,1,VORY,VORY,RJA,,http://aai.aero/allAirports/rajahmundry_generalinfo.jsp,https://en.wikipedia.org/wiki/Rajahmundry_Airport,,750,2022-09-09T12:20:18+00:00
26576,VISM,small_airport,"Shimla Airport",31.0818,77.068001,5072,AS,India,IN,"Himachal Pradesh",IN-HP,HP,Jubbarhatti,0,VISM,VISM,SLV,,,https://en.wikipedia.org/wiki/Shimla_Airport,,150,2022-08-10T14:32:15+00:00
26628,VOTR,large_airport,"Tiruchirappalli International Airport",10.762915,78.717741,288,AS,India,IN,"Tamil Nadu",IN-TN,TN,Tiruchirappalli,1,VOTR,VOTR,TRZ,,,https://en.wikipedia.org/wiki/Tiruchirappalli_International_Airport,"Trichy, Trichinopoly, RAF Kajamalai",1000,2026-01-07T22:32:54+00:00
26554,VIDN,medium_airport,"Dehradun Jolly Grant Airport",30.189243,78.176651,1831,AS,India,IN,Uttarakhand,IN-UT,UT,"Dehradun (Jauligrant)",1,VIDN,VIDN,DED,,http://aai.aero/allAirports/dehradun_generalinfo.jsp,https://en.wikipedia.org/wiki/Jolly_Grant_Airport,"Jauligrant, Jolly Grant",750,2022-08-10T14:27:25+00:00
